###TsSection	#
Wii Music Editor Plus	Wii Music Editor Plus
Cancel	Abbrechen
Ok	In Ordnung
Menu Song	Menü Lied
Jazz	Jazz
Rock	Felsen
Latin	Latein
March	Marsch
Electronic	Elektronisch
Pop	Pop
Japanese	japanisch
Tango	Tango
Classical	Klassik
Hawaiian	hawaiisch
Reggae	Reggae
Animal Crossing K.K. Blues	Animal Crossing K.K. Blues
O-Christmas Tree	O-Weihnachtsbaum
Oh My Darling Clementine	Oh mein Liebling Clementine
Over The Waves	Über den Wellen
Super Mario Bros	Super Mario Bros
Twinkle Twinkle Little Star	Funkel, funkel kleiner Stern
A Capella	A capella
Acoustic	Akustik
African Electronic	Afrikanische Elektronik
Animals!	Tiere!
Calypso	Calypso
Exotic	Exotisch
Flamenco	Flamenco
Galactic	Galaktisch
Handbell	Handglocke
Karate	Karate
Orchestral	Orchestral
Parade	Parade
Rap	Rap
Samba	Samba
Menu Style Main	Menüstil Hauptmenü
Menu Style Electronic	Menüstil elektronisch
Menu Style Japanese	Menüstil Japanisch
Menu Style March	Menüstil März
Menu Style A Capella	Menüstil A Capella
Piano	Klavier
Marimba	Marimba
Vibraphone	Vibraphon
Steel Drum	Stahltrommel
Dulcimer	Hackbrett
Harpsichord	Cembalo
Timpani	Timpani
Galactic Piano	Galaktisches Klavier
Toy Piano	Spielzeugklavier
Dog	Hund
Cat	Katze
Rapper	Rapper
Guitar	Gitarre
Electric Guitar	Elektrische Gitarre
Electric Bass	E-Bass
Double Bass	Kontrabass
Ukulele	Ukulele
Banjo	Banjo
Sitar	Sitar
Shamisen	Shamisen
Harp	Harfe
Galactic Guitar	Galaktische Gitarre
Galactic Bass	Galaktischer Bass
Jaw Harp	Maultrommel
Violin	Violine
Cello	Cello
Trumpet	Trompete
Saxophone	Saxophon
Flute	Flöte
Clairenet	Clairenet
Tuba	Tuba
Accordion	Akkordeon
Harmonica	Mundharmonika
Bagpipe	Dudelsack
Recorder	Recorder
Galactic horn	Galaktisches Horn
Nes	Nes
Singer	Sänger
Bass Singer	Bassist
Basic Drums	Grundschlagzeug
Rock Drums	Rock-Drums
Jazz Drums	Jazz-Schlagzeug
Latin Drums	Lateinische Trommeln
Ballad Drums	Balladentrommeln
Congas	Congas
Maracas	Maracas
Tambourine	Tambourin
Cuica	Cuica
Cowbell	Kuhglocke
Clap	Klatschen
Bells	Glocken
Castanets	Kastagnetten
Guiro	Guiro
Timpales	Timpales
Djembe	Djembé
Taiko Drum	Taiko-Trommel
Cheerleader	Cheerleader
Snare Drum	Kleine Trommel
Bass Drum	Schlagzeug
Galactic Drums	Galaktische Trommeln
Galactic Congas	Galaktische Congas
DJ Turntables	DJ-Plattenspieler
Black Belt	Schwarzer Gürtel
Reggae Drums	Reggae-Schlagzeug
Whistle	Pfeife
Beatbox	Beatbox
None	Keiner
Basic Drum	Grundtrommel
Cymbal for Basic, Jazz, Latin, Reggae, and Ballad Drums	Becken für Basic, Jazz, Latin, Reggae und Ballad Drums
Bass for Basic, Latin, and Ballad Drums	Bass für Basic, Latin und Ballad Drums
Female Variant	Weibliche Variante
Hand Clap	Handklatschen
Male Variant	Männliche Variante
Timbales	Timbales
Taiko Drums	Taiko-Trommeln
Female Varient	Weibliche Variante
Female	Weiblich
Male	Männlich
Beat Boxer	Beat-Boxer
Drum Mode	Schlagzeugmodus
Wii Music Editor Plus - Error	Wii Music Editor Plus - Fehler
Close	Nah dran
Create Geckocode	Geckocode erstellen
Could not import change	Änderung konnte nicht importiert werden
Import Changes	Änderungen importieren
Finished Importing Changes	Import der Änderungen abgeschlossen
Importing Change {} out of {}	Importieren der Änderung {} aus {}
Currently Loaded File:	Aktuell geladene Datei:
No File Loaded	Keine Datei geladen
Song Editor	Song-Editor
Style Editor	Stil-Editor
Advanced Features	Erweiterte Funktionen
Change All Text	Gesamten Text ändern
Change Default Styles	Standardstile ändern
Replace Sounds	Töne ersetzen
Remove Song	Lied entfernen
Convert Geckocode to .gct	Konvertieren Sie Geckocode in .gct
Patch Main.dol with Geckocode	Main.dol mit Geckocode patchen
Create Riivolution Patch	Riivolution-Patch erstellen
Rom Editing	Rom-Bearbeitung
Revert Changes	Änderungen rückgängig machen
Pack Rom Filesystem	Pack Rom-Dateisystem
Import Files	Dateien importieren
Export Files	Dateien exportieren
Back	Zurück
Replace Song	Lied ersetzen
Load a Midi-Type file	Laden Sie eine Midi-Type-Datei
Browse	Durchsuche
SCORE:	ERGEBNIS:
SONG:	LIED:
Replace SONG seperatly	SONG separat ersetzen
Tempo:	Tempo:
Length:	Länge:
Measures	Mittel
Beats	Beats
Time Signature:	Zeitstempel:
Change Song Text	Songtext ändern
Name:	Name:
Genre:	Genre:
Description:	Beschreibung:
Patch!	Patchen!
Song to change	Lied zum ändern
Style:	Stil:
Edit in Style Editor	Im Stileditor bearbeiten
Change Default Style	Standardstil ändern
Parts	Teile
Bass:	Bass:
Perc 1:	Perz 1:
Harmony:	Harmonie:
Chords:	Akkorde:
Perc 2:	Perz 2:
Melody:	Melodie:
Reset to Default	Zurücksetzen
Instruments	Instrumente
Part to Change:	Teil zu ändern:
Melody	Melodie
Harmony	Harmonie
Chords	Akkorde
Bass	Bass
Percussion 1	Schlagzeug 1
Percussion 2	Schlagzeug 2
Style to change	Stil zum Ändern
Style Name:	Stilname:
Text Editor	Texteditor
Open in External Editor	Im externen Editor öffnen
Default Style Editor	Standardstil-Editor
Song List	Lieder Liste
Style List	Stilliste
Set to Default	Auf Standard setzen
Remove Songs	Lieder entfernen
Remove All Non-Custom Songs	Alle nicht benutzerdefinierten Songs entfernen
Deselect All	Alle abwählen
Purge Songs!!!	Säubere Lieder!!!
Sound Editor	Sound-Editor
Sound List	Soundliste
File	Datei
Load a Rwav-Type file	Laden Sie eine Datei vom Typ Rwav
Sound Types	Tonarten
Select All	Wählen Sie Alle
Play Audio	Audio abspielen
Options	Optionen
Help	Hilfe
Load Wii Music File	Wii-Musikdatei laden
Load Wii Music Folder	Wii-Musikordner laden
Run Dolphin	Lauf Delphin
F5	F5
Run Dolphin (Menu)	Delphin laufen (Menü)
F6	F6
Check for Updates	Auf Updates prüfen
Settings	Einstellungen
Download Pre-made Songs	Vorgefertigte Songs herunterladen
Open Wiki	Wiki öffnen
Open Save Folder	Ordner speichern öffnen
Add 100% Save File to Dolphin	Fügen Sie eine 100%-Speicherdatei zu Dolphin hinzu
Game Documentation	Spieldokumentation
About	Etwa
Donate	Spenden
Wii Backup File System	Wii-Sicherungsdateisystem
Rom Successfuly Packed!	Rom erfolgreich gepackt!
Could not pack rom	Rom konnte nicht gepackt werden
Rom Type:	Rom-Typ:
Patch Main.dol with Geckocodes	Main.dol mit Geckocodes patchen
Songs	Lieder
Styles	Stile
Text	Text
Main.dol	Main.dol
Revert!	Zurückkehren!
Could not revert songs	Lieder konnten nicht zurückgesetzt werden
Could not revert message file	Nachrichtendatei konnte nicht zurückgesetzt werden
Could not revert styles	Stile konnten nicht zurückgesetzt werden
Could not revert main.dol	main.dol konnte nicht zurückgesetzt werden
Files Reverted!	Dateien zurückgesetzt!
Riivolution Creator	Riivolution-Ersteller
Mod Name:	Mod-Name:
Saving to:	Speichern unter:
Copy to SD Card:	Auf SD-Karte kopieren:
Geckocode Copy Method:	Geckocode-Kopiermethode:
Patch Main.dol	Patch Main.dol
Copy Codes	Codes kopieren
Do Nothing	Nichts tun
Create!	Erstellen!
Creation Complete!	Erstellung abgeschlossen!
Rom Settings	Rom-Einstellungen
Fallback Region (Used if rom region can't be determinded):	Fallback-Region (Wird verwendet, wenn die Rom-Region nicht bestimmt werden kann):
US	uns
Europe	Europa
Japan	Japan
Korea	Korea
Remove changes from Changes.ini when reverting changes	Entfernen Sie Änderungen aus Changes.ini, wenn Sie Änderungen rückgängig machen
Load Song and Score separately	Song und Partitur separat laden
Add the Rapper Crash fix to Gecko codes	Füge den Rapper-Crash-Fix zu Gecko-Codes hinzu
Normalize Midi (Makes Midis more Wii Music friendly)	Midi normalisieren (macht Midis Wii-Musikfreundlicher)
Updates	Aktualisierung
Check for Updates on Startup	Nach Updates beim Start suchen
Switch to Beta	Zur Beta wechseln
Debug Options	Debug-Optionen
Unsafe mode (Enables options that might crash the game)	Unsicherer Modus (aktiviert Optionen, die das Spiel zum Absturz bringen könnten)
General	Allgemein
Dolphin Path	Delphinpfad
No Specified Path	Kein angegebener Pfad
Dolphin Save Path	Delphin-Speicherpfad
Default Path	Standardpfad
Set as Default	Als Standard einstellen
Gecko Codes	Gecko-Codes
Copy Gecko codes to Dolphin save directory	Gecko-Codes in das Dolphin-Speicherverzeichnis kopieren
Force Enable Cheats when launching Dolphin	Erzwinge die Aktivierung von Cheats beim Starten von Dolphin
Appearence	Aussehen
Language:	Sprache:
Rom Language:	Römische Sprache:
Editor Settings	Editor-Einstellungen
Switch to Main	Wechseln Sie zum Main
Not a Dolphin Save Directory	Kein Dolphin-Speicherverzeichnis
