###TsSection	#
Wii Music Editor Plus	Wii Music Editor Plus
Cancel	Annulla
Ok	Ok
Menu Song	Menu Canzone
Jazz	Jazz
Rock	Musica rock
Latin	latino
March	marzo
Electronic	Elettronico
Pop	Pop
Japanese	giapponese
Tango	Tango
Classical	Classico
Hawaiian	hawaiano
Reggae	Reggae
Animal Crossing K.K. Blues	Animal Crossing K.K. Blues
O-Christmas Tree	O-Albero di Natale
Oh My Darling Clementine	Oh mia cara Clementina
Over The Waves	Oltre le onde
Super Mario Bros	Super Mario Bros
Twinkle Twinkle Little Star	Twinkle Twinkle Little Star
A Capella	A Cappella
Acoustic	Acustico
African Electronic	Elettronica africana
Animals!	Animali!
Calypso	Calipso
Exotic	Esotico
Flamenco	Flamenco
Galactic	Galattico
Handbell	Campanello
Karate	Karatè
Orchestral	Orchestrale
Parade	Parata
Rap	Rap
Samba	Samba
Menu Style Main	Stile menu principale
Menu Style Electronic	Menu stile elettronico
Menu Style Japanese	Menu in stile giapponese
Menu Style March	Menu Style marzo
Menu Style A Capella	Menu Stile A Cappella
Piano	Pianoforte
Marimba	Marimba
Vibraphone	Vibrafono
Steel Drum	Tamburo d'acciaio
Dulcimer	Dulcimer
Harpsichord	Clavicembalo
Timpani	Timpani
Galactic Piano	Piano Galattico
Toy Piano	Pianoforte giocattolo
Dog	Cane
Cat	Gatto
Rapper	Cantante rap
Guitar	Chitarra
Electric Guitar	Chitarra elettrica
Electric Bass	Basso elettrico
Double Bass	Contrabbasso
Ukulele	Ukulele
Banjo	banjo
Sitar	Sitar
Shamisen	Shamisen
Harp	Arpa
Galactic Guitar	Chitarra Galattica
Galactic Bass	Basso Galattico
Jaw Harp	arpa mascellare
Violin	Violino
Cello	Violoncello
Trumpet	Tromba
Saxophone	Sassofono
Flute	Flauto
Clairenet	Clairenet
Tuba	Tuba
Accordion	Fisarmonica
Harmonica	Armonica
Bagpipe	Cornamusa
Recorder	Registratore
Galactic horn	corno galattico
Nes	Nes
Singer	Cantante
Bass Singer	bassista
Basic Drums	Batteria di base
Rock Drums	batteria rock
Jazz Drums	Batteria Jazz
Latin Drums	tamburi latini
Ballad Drums	Batteria ballata
Congas	Congas
Maracas	Maracas
Tambourine	Tamburello
Cuica	Cuica
Cowbell	campanaccio
Clap	applauso
Bells	campane
Castanets	Nacchere
Guiro	Guiro
Timpales	timpali
Djembe	Djembe
Taiko Drum	Taiko Drum
Cheerleader	Cheerleader
Snare Drum	Tamburo rullante
Bass Drum	Grancassa
Galactic Drums	Tamburi Galattici
Galactic Congas	Congas Galattici
DJ Turntables	Giradischi DJ
Black Belt	Cintura nera
Reggae Drums	Batteria reggae
Whistle	Fischio
Beatbox	Beatbox
None	Nessuno
Basic Drum	Tamburo di base
Cymbal for Basic, Jazz, Latin, Reggae, and Ballad Drums	Piatti per batteria base, jazz, latina, reggae e ballata
