###TsSection	#
Wii Music Editor Plus	Wiiミュージックエディタープラス
Cancel	キャンセル
Ok	Ok
Menu Song	メニューソング
Jazz	ジャズ
Rock	岩
Latin	ラテン語
March	行進
Electronic	電子
Pop	ポップ
Japanese	日本
Tango	タンゴ
Classical	クラシック
Hawaiian	ハワイアン
Reggae	レゲエ
Animal Crossing K.K. Blues	どうぶつの森株式会社ブルース
O-Christmas Tree	O-クリスマスツリー
Oh My Darling Clementine	Oh My Darling Clementine
Over The Waves	波を越えて
Super Mario Bros	スーパーマリオブラザーズ
Twinkle Twinkle Little Star	キラキラ光る
A Capella	アカペラ
Acoustic	音響
African Electronic	アフリカンエレクトロニック
Animals!	動物！
Calypso	カリプソ
Exotic	エキゾチック
Flamenco	フラメンコ
Galactic	ギャラクティック
Handbell	ハンドベル
Karate	空手
Orchestral	オーケストラ
Parade	パレード
Rap	ラップ
Samba	サンバ
Menu Style Main	メニュースタイルメイン
Menu Style Electronic	メニュースタイルエレクトロニック
Menu Style Japanese	メニュースタイル日本語
Menu Style March	メニュースタイルマーチ
Menu Style A Capella	メニュースタイルアカペラ
Piano	ピアノ
Marimba	マリンバ
Vibraphone	ビブラフォン
Steel Drum	スチールドラム
Dulcimer	ダルシマー
Harpsichord	チェンバロ
Timpani	ティンパニー
Galactic Piano	銀河ピアノ
Toy Piano	トイピアノ
Dog	犬
Cat	ネコ
Rapper	ラッパー
Guitar	ギター
Electric Guitar	エレキギター
Electric Bass	エレクトリックベース
Double Bass	ダブルベース
Ukulele	ウクレレ
Banjo	バンジョー
Sitar	シタール
Shamisen	三味線
Harp	ハープ
Galactic Guitar	銀河ギター
Galactic Bass	銀河系低音
Jaw Harp	口琴
Violin	バイオリン
Cello	チェロ
Trumpet	トランペット
Saxophone	サックス
Flute	フルート
Clairenet	クレアネット
Tuba	チューバ
Accordion	アコーディオン
Harmonica	ハーモニカ
Bagpipe	バグパイプ
Recorder	レコーダー
Galactic horn	銀河の角
Nes	ネス
Singer	歌手
Bass Singer	バスシンガー
Basic Drums	ベーシックドラム
Rock Drums	ロックドラム
Jazz Drums	ジャズドラム
Latin Drums	ラテンドラム
Ballad Drums	バラードドラム
Congas	コンガ
Maracas	マラカス
Tambourine	タンバリン
Cuica	クイーカ
Cowbell	カウベル
Clap	拍手
Bells	ベル
Castanets	カスタネット
Guiro	ギロ
Timpales	ティンバレス
Djembe	ジャンベ
Taiko Drum	太鼓
Cheerleader	チアリーダー
Snare Drum	スネアドラム
Bass Drum	バスドラム
Galactic Drums	銀河のドラム
Galactic Congas	銀河コンガ
DJ Turntables	DJターンテーブル
Black Belt	黒帯
Reggae Drums	レゲエドラム
Whistle	ホイッスル
Beatbox	ビートボックス
None	なし
Basic Drum	ベーシックドラム
Cymbal for Basic, Jazz, Latin, Reggae, and Ballad Drums	ベーシック、ジャズ、ラテン、レゲエ、バラードドラム用のシンバル
Bass for Basic, Latin, and Ballad Drums	ベーシック、ラテン、バラードドラムのベース
Female Variant	女性の変種
Hand Clap	拍手
Male Variant	男性の変種
Timbales	ティンバレス
Taiko Drums	太鼓
Female Varient	女性の変種
Female	女性
Male	男
Beat Boxer	ビートボクサー
Drum Mode	ドラムモード
Wii Music Editor Plus - Error	Wiiミュージックエディタープラス-エラー
Close	選ぶ
Create Geckocode	Geckocodeを作成する
Could not import change	変更をインポートできませんでした
Import Changes	変更をインポートする
Finished Importing Changes	変更のインポートが完了しました
Importing Change {} out of {}	{}から変更{}をインポートする
Currently Loaded File:	現在ロードされているファイル：
No File Loaded	ファイルがロードされていません
Song Editor	ソングエディター
Style Editor	スタイルエディター
Advanced Features	高度な機能
Change All Text	すべてのテキストを変更
Change Default Styles	デフォルトのスタイルを変更する
Replace Sounds	サウンドを置き換える
Remove Song	曲を削除
Convert Geckocode to .gct	Geckocodeを.gctに変換します
Patch Main.dol with Geckocode	Main.dolにGeckocodeをパッチする
Create Riivolution Patch	Riivolutionパッチを作成する
Rom Editing	ROM編集
Revert Changes	変更を元に戻す
Pack Rom Filesystem	パックRomファイルシステム
Import Files	ファイルのインポート
Export Files	ファイルのエクスポート
Back	戻る
Replace Song	曲を置き換える
Load a Midi-Type file	MIDIタイプのファイルをロードする
Browse	ブラウズ
SCORE:	スコア：
SONG:	歌：
Replace SONG seperatly	SONGを個別に交換してください
Tempo:	テンポ：
Length:	長さ：
Measures	対策
Beats	Beats
Time Signature:	拍子記号：
Change Song Text	曲のテキストを変更する
Name:	名前：
Genre:	ジャンル：
Description:	説明：
Patch!	パッチ！
Song to change	変更する曲
Style:	スタイル：
Edit in Style Editor	スタイルエディタで編集
Change Default Style	デフォルトスタイルの変更
Parts	部品
Bass:	ベース：
Perc 1:	Perc 1：
Harmony:	調和：
Chords:	コード：
Perc 2:	Perc 2：
Melody:	メロディー：
Reset to Default	デフォルトにリセット
Instruments	楽器
Part to Change:	変更する部分：
Melody	メロディー
Harmony	調和
Chords	和音
Bass	ベース
Percussion 1	パーカッション1
Percussion 2	パーカッション2
Style to change	変更するスタイル
Style Name:	スタイル名：
Text Editor	テキストエディタ
Open in External Editor	外部エディタで開く
Default Style Editor	デフォルトのスタイルエディタ
Song List	曲リスト
Style List	スタイルリスト
Set to Default	デフォルトに設定
Remove Songs	曲を削除する
Remove All Non-Custom Songs	カスタム以外の曲をすべて削除する
Deselect All	すべての選択を解除
Purge Songs!!!	曲をパージ!!!
Sound Editor	サウンドエディタ
Sound List	サウンドリスト
File	ファイル
Load a Rwav-Type file	Rwavタイプのファイルをロードします
Sound Types	サウンドタイプ
Select All	すべて選択
Play Audio	オーディオを再生
Options	オプション
Help	ヘルプ
Load Wii Music File	Wiiミュージックファイルをロードする
Load Wii Music Folder	Wiiミュージックフォルダを読み込む
Run Dolphin	イルカを実行します
F5	F5
Run Dolphin (Menu)	イルカを実行する（メニュー）
F6	F6
Check for Updates	アップデートを確認する
Settings	設定
Download Pre-made Songs	既製の曲をダウンロードする
Open Wiki	Wikiを開く
Open Save Folder	保存フォルダを開く
Add 100% Save File to Dolphin	Dolphinに100％保存ファイルを追加
Game Documentation	ゲームのドキュメント
About	約
Donate	寄付
Wii Backup File System	Wiiバックアップファイルシステム
Rom Successfuly Packed!	Romが正常にパックされました！
Could not pack rom	ROMをパックできませんでした
Rom Type:	Romタイプ：
Patch Main.dol with Geckocodes	Main.dolにGeckocodesをパッチします
Songs	曲
Styles	スタイル
Text	文章
Main.dol	Main.dol
Revert!	元に戻す！
