###TsSection	#
Wii Music Editor Plus	Wii 뮤직 에디터 플러스
Cancel	취소
Ok	확인
Menu Song	메뉴송
Jazz	재즈
Rock	바위
Latin	라틴어
March	3 월
Electronic	전자
Pop	팝
Japanese	일본어
Tango	탱고
Classical	고전
Hawaiian	하와이안
Reggae	레게
Animal Crossing K.K. Blues	동물의 숲 K.K. 블루스
O-Christmas Tree	O-크리스마스 트리
Oh My Darling Clementine	오 마이 달링 클레멘타인
Over The Waves	파도 위에
Super Mario Bros	슈퍼 마리오 형제
Twinkle Twinkle Little Star	반짝 반짝 작은 별
A Capella	아카펠라
Acoustic	음향학
African Electronic	아프리카 전자
Animals!	동물들!
Calypso	칼립소
Exotic	이국적인
Flamenco	플라멩코
Galactic	은하계
Handbell	종
Karate	카라테
Orchestral	오케스트라
Parade	축제
Rap	랩
Samba	삼바
Menu Style Main	메뉴 스타일 메인
Menu Style Electronic	메뉴 스타일 전자
Menu Style Japanese	메뉴 스타일 일본어
Menu Style March	메뉴 스타일 행진
Menu Style A Capella	메뉴 스타일 A 아카펠라
Piano	피아노
Marimba	마림바
Vibraphone	비브라폰
Steel Drum	스틸 드럼
Dulcimer	덜시머
Harpsichord	하프시코드
Timpani	팀파니
Galactic Piano	은하 피아노
Toy Piano	장난감 피아노
Dog	개
Cat	고양이
Rapper	래퍼
Guitar	기타
Electric Guitar	전자 기타
Electric Bass	일렉트릭 베이스
Double Bass	콘트라베이스
Ukulele	우쿨렐레
Banjo	밴조
Sitar	시타르
Shamisen	샤미센
Harp	하프
Galactic Guitar	은하 기타
Galactic Bass	은하 베이스
Jaw Harp	조 하프
Violin	바이올린
Cello	첼로
Trumpet	트럼펫
Saxophone	색소폰
Flute	플루트
Clairenet	클레어넷
Tuba	튜바
Accordion	아코디언
Harmonica	하모니카
Bagpipe	풍적
Recorder	기록계
Galactic horn	은하의 뿔
Nes	네스
Singer	가수
Bass Singer	베이스 싱어
Basic Drums	기본 드럼
Rock Drums	록 드럼
