###TsSection	#
Wii Music Editor Plus	Wii Music Editor Plus
Cancel	Cancelar
Ok	OK
Menu Song	Canción del menú
Jazz	Jazz
Rock	Rock
Latin	latín
March	marcha
Electronic	Electrónico
Pop	Música pop
Japanese	japonés
Tango	Tango
Classical	Clásico
Hawaiian	hawaiano
Reggae	Reggae
Animal Crossing K.K. Blues	Animal Crossing K.K. Blues
O-Christmas Tree	O-árbol de Navidad
Oh My Darling Clementine	Oh mi querida clementina
Over The Waves	Sobre las olas
Super Mario Bros	Super Mario Bros
Twinkle Twinkle Little Star	Brilla brilla pequeña estrella
A Capella	A Capella
Acoustic	Acústico
African Electronic	Electrónica africana
Animals!	Animales!
Calypso	Calipso
Exotic	Exótico
Flamenco	Flamenco
Galactic	Galáctico
Handbell	Campanilla
Karate	Kárate
Orchestral	Orquestal
Parade	Desfile
Rap	Rap
Samba	Samba
Menu Style Main	Estilo de menú Principal
Menu Style Electronic	Estilo de menú Electrónico
Menu Style Japanese	Estilo de menú japonés
Menu Style March	Estilo de menú marzo
Menu Style A Capella	Menú Estilo A Capella
Piano	Piano
Marimba	Marimba
Vibraphone	Vibráfono
Steel Drum	Tambor de acero
Dulcimer	Dulcimer
Harpsichord	Clave
Timpani	Tímpanos
Galactic Piano	Piano galáctico
Toy Piano	Piano de juguete
Dog	Perro
Cat	Gato
Rapper	Rapero
Guitar	Guitarra
Electric Guitar	Guitarra electrica
Electric Bass	Bajo eléctrico
Double Bass	Contrabajo
Ukulele	Ukelele
Banjo	Banjo
Sitar	Sitar
Shamisen	Shamisen
Harp	Arpa
Galactic Guitar	Guitarra galáctica
Galactic Bass	Bajo galáctico
Jaw Harp	Arpa de mandíbula
Violin	Violín
Cello	Violonchelo
Trumpet	Trompeta
Saxophone	Saxofón
Flute	Flauta
Clairenet	Clairenet
Tuba	Tuba
Accordion	Acordeón
Harmonica	Harmónica
Bagpipe	Cornamusa
Recorder	Grabadora
Galactic horn	Cuerno galáctico
Nes	Nes
Singer	Cantante
Bass Singer	Cantante de bajo
Basic Drums	Batería básica
Rock Drums	Tambores de rock
Jazz Drums	Tambores de Jazz
Latin Drums	Tambores latinos
Ballad Drums	Tambores de balada
Congas	Congas
Maracas	Maracas
Tambourine	Pandereta
Cuica	Cuica
Cowbell	Cencerro
Clap	Aplaudir
Bells	Campanas
Castanets	Castañuelas
Guiro	Guiro
Timpales	Timpales
Djembe	Djembe
Taiko Drum	Tambor Taiko
Cheerleader	Animador
Snare Drum	Tambor de caja
Bass Drum	Tambor de bajo
Galactic Drums	Tambores galácticos
Galactic Congas	Congas Galácticas
DJ Turntables	Tocadiscos DJ
Black Belt	Cinta negra
Reggae Drums	Tambores de reggae
Whistle	Silbar
Beatbox	Beatbox
None	Ninguna
Basic Drum	Tambor básico
Cymbal for Basic, Jazz, Latin, Reggae, and Ballad Drums	Platillo para batería básica, jazz, latina, reggae y balada
Bass for Basic, Latin, and Ballad Drums	Bajo para batería básica, latina y de balada
Female Variant	Variante femenina
Hand Clap	Aplauso
Male Variant	Variante masculina
Timbales	Timbales
Taiko Drums	Tambores Taiko
Female Varient	Variedad femenina
Female	Mujer
Male	Masculino
Beat Boxer	Beat Boxer
Drum Mode	Modo de batería
Wii Music Editor Plus - Error	Wii Music Editor Plus - Error
Close	Cerca
Create Geckocode	Crear Geckocode
Could not import change	No se pudo importar el cambio
Import Changes	Importar cambios
Finished Importing Changes	Importación de cambios finalizada
Importing Change {} out of {}	Importando cambio {} de {}
Currently Loaded File:	Archivo cargado actualmente:
No File Loaded	Ningún archivo cargado
Song Editor	Editor de canciones
Style Editor	Editor de estilo
Advanced Features	Características avanzadas
Change All Text	Cambiar todo el texto
Change Default Styles	Cambiar estilos predeterminados
Replace Sounds	Reemplazar sonidos
Remove Song	Quitar canción
Convert Geckocode to .gct	Convierta Geckocode a .gct
Patch Main.dol with Geckocode	Parche Main.dol con Geckocode
Create Riivolution Patch	Crear parche Riivolution
Rom Editing	Edición Rom
Revert Changes	Revertir cambios
Pack Rom Filesystem	Paquete de sistema de archivos Rom
Import Files	Importar archivos
Export Files	Exportar archivos
Back	atrás
Replace Song	Reemplazar canción
Load a Midi-Type file	Cargar un archivo de tipo Midi
